"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Story and Task Issue Analysis for Agile Machine Learning Projects","K. Singla; T. M. Vinayak; A. S. Arpitha; C. Naik; J. Bose","Samsung R&D Institute, Bangalore, India; Samsung R&D Institute, Bangalore, India; Samsung R&D Institute, Bangalore, India; Samsung R&D Institute, Bangalore, India; Samsung R&D Institute, Bangalore, India","2020 IEEE-HYDCON","3 Nov 2020","2020","","","1","4","The usage of Agile methodology in planning and executing machine learning (ML) and data science related software engineering projects is increasing. However, there are very few studies using real data on how effective such planning is or guidelines on how to plan such projects. In this paper, we analyze data taken from several software projects using Scrum tools. We compare the data for data science/ML and non-ML projects, in an attempt to understand if data science and ML projects are planned or executed any differently compared to normal software engineering projects. We also perform a story classification task using machine learning to analyze story logs for agile tasks for several teams. We find there are differences in what makes a good ML story as opposed to a non ML story. After analyzing this data, we propose a few ways in which software projects, whether machine learning related or not, can be better logged and executed using Scrum tools like Jira.","","978-1-7281-4994-3","10.1109/HYDCON48903.2020.9242803","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9242803","scrum;machine learning project;software engineering;agile methodology","Machine learning;Tools;Software;Planning;Task analysis;Scrum (Software development);Software engineering","learning (artificial intelligence);software engineering","nonML story;agile tasks;story classification task;normal software engineering projects;nonML projects;Scrum tools;software projects;agile methodology;agile machine learning projects;task issue analysis","","1","","16","IEEE","3 Nov 2020","","","IEEE","IEEE Conferences"
"A Typical Practical Team Structure and Setup in Agile Software Development","M. Afshari; T. J. Gandomani","Data Science Research Center, Shahrekord University, Shahrekord, Iran; Department of Computer Science, Data Science Research Center, Shahrekord University, Shahrekord, Iran","2021 7th International Conference on Electrical, Electronics and Information Engineering (ICEEIE)","30 Nov 2021","2021","","","483","487","Agile software development provides a different approach to Agile projects. This approach emphasizes employing experienced and committed individuals. In this approach, team management is different from what the disciplined methods defined. In this condition, team organization, team members’ roles, and responsibilities, and project control methods need to be defined in a new form. Although some Agile methods define particular roles, it seems that team structure in Agile projects in real projects is different from what is expected. This paper aimed to propose a common team structure and setup for Agile teams in practice. Differences in the Agile and plan-driven approaches in software development lead to define new concepts such as team self-organization, on-site customer, leadership, and collaboration in Agile teams. Also, some new roles and responsibilities have been defined in Agile teams, including Technical Lead, Product Owner, Architecture Owner, Developer, etc.","","978-1-6654-3232-0","10.1109/ICEEIE52663.2021.9616743","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9616743","Agile software development;Agile methods;Agile team;Agile team setup;Agile team structure","Leadership;Force;Agile software development;Collaboration;Computer architecture;Companies;Lead","project management;software development management;software prototyping;team working","agile software development;agile projects;agile team management;team structure;plan-driven approaches;team self-organization;on-site customer;leadership;collaboration","","","","31","IEEE","30 Nov 2021","","","IEEE","IEEE Conferences"
"A big data on private cloud agile provisioning framework based on OpenStack","M. Lu; X. Zhou","Infrastructure as a Service, BT/IT, Lenovo, Beijing, China; Infrastructure as a Service, BT/IT, Lenovo, Beijing, China","2018 IEEE 3rd International Conference on Cloud Computing and Big Data Analysis (ICCCBDA)","18 Jun 2018","2018","","","253","260","On the bases of the OpenStack private cloud delivery big data platform, numerous entities yearn for attaining agile and standardized big data delivery platform, reclaiming the resources, managing the total cost of ownership (TCO) and adapting to multiple big data open source or commercial off-the-shelf (COTS) solutions. Nevertheless, as regards the big data platform running on cloud computing, the big data platform is disintegrated from the cloud computing system by virtual machines since neither being based on OpenStack private cloud nor on big data platform can achieve end-to-end resource delivery, together with ensuring that it is quite convenient for the long-term operations. Accordingly, establishing an across framework between private cloud and big data platform is quite essential. The big data on cloud agile provision framework could realize fast resource delivery based on predefined orchestration template of private cloud, operating system, big data platform, monitor, inspection system, etc. Through the deployment of this framework, it is capable of attaining the delivery of agile, low cost, standardized and high adaptability the big data on cloud, as well as the high-quality operation of the big data on cloud with the help of integration configuration management database (CMDB) with the automatic inspection system.","","978-1-5386-4301-3","10.1109/ICCCBDA.2018.8386522","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8386522","cloud computing;agile resource provisioning;big data platform orchestration;inspection and rule engine","Big Data;Cloud computing;Virtual machining;Technological innovation;Testing;Inspection","Big Data;cloud computing;configuration management;virtual machines","OpenStack private cloud delivery big data platform;agile data delivery platform;private cloud agile provisioning framework;total cost of ownership;TCO management;commercial off-the-shelf solutions;COTS solutions;Big Data open source;virtual machines;end-to-end resource delivery;integration configuration management database;CMDB;automatic inspection system","","1","","12","IEEE","18 Jun 2018","","","IEEE","IEEE Conferences"
"Research on Enterprise Agile High Potential Talent Identification System Based on Big Data Technology","M. Yang; W. Wang","School of Management, Shanghai Sanda University, Shanghai, China; School of Economics and Management, Harbin University of Science and Technology, Harbin, China","2021 9th International Conference on Orange Technology (ICOT)","21 Jan 2022","2021","","","1","4","In the era of VUCA, enterprises need to quickly and accurately identify high-potential talents to achieve enterprise development and transformation. This article will talent radar, data, image, big data technologies, such as tendency analysis and Merce post evaluation methods, behavioral event interview, evaluation center technology and so on to carry on the organic combination, build agile high latent talent identification system, to establish high latent talent ability quality model, establish other agile high dive into the well path and the specification, as to provide theoretical basis for enterprise agile high latent talent identification.","","978-1-6654-7842-7","10.1109/ICOT54518.2021.9680668","Ministry of Education; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9680668","VUCA agile;high potential talents;talent recognition system;competency model","Analytical models;Radar;Big Data;Radar imaging;Data models;Social implications of technology;Interviews","Big Data;business data processing;human resource management","enterprise agile high potential talent identification system;Big Data;high-potential talents;enterprise development;Merce post evaluation methods;behavioral event interview;evaluation center technology;high latent talent ability quality model;tendency analysis","","","","9","IEEE","21 Jan 2022","","","IEEE","IEEE Conferences"
"CRISP-DM for Data Science: Strengths, Weaknesses and Potential Next Steps","J. S. Saltz",Syracuse University,"2021 IEEE International Conference on Big Data (Big Data)","13 Jan 2022","2021","","","2337","2344","This paper explores the strengths and weaknesses of CRISP-DM when used for data science projects. The paper then explores what key actions data science teams using CRISP-DM should consider that addresses CRISP-DM’s weaknesses. In brief, CRISP-DM, which is the most popular framework teams use to execute data science projects, provides an easy to understand description of the data science project workflow (i.e., the data science life cycle). However, CRISP-DM’s project phases miss some key aspects of the data science project life cycle. In addition, CRISP-DM’s task-focused approach fails to address how a team should prioritize tasks, and in general, collaborate and communicate. Hence, this paper also describes how CRISP-DM could be combined with a team coordination framework, such as Scrum or Data Driven Scrum, which is a newer collaboration framework developed to address the unique data science coordination challenges.","","978-1-6654-3902-2","10.1109/BigData52589.2021.9671634","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9671634","","Conferences;Collaboration;Data science;Big Data;Task analysis","data handling;data mining;groupware;organisational aspects;project management;software prototyping","data science project workflow;data science life cycle;CRISP-DM's project phases;data science project life cycle;CRISP-DM's task-focused approach;Data Driven Scrum;data science projects;key actions data science teams","","6","","21","IEEE","13 Jan 2022","","","IEEE","IEEE Conferences"
"Identifying and Addressing 6 Key Questions when Using Data Driven Scrum","J. S. Saltz; A. Sutherland; T. Jombart",Syracuse University; Scrum Inc; London School of Hygiene & Tropical Medicine,"2021 IEEE International Conference on Big Data (Big Data)","13 Jan 2022","2021","","","2345","2352","Data Driven Scrum (DDS) enables lean data science project agility and addresses the key challenges that have been identified when using Scrum in a data science context. However, little has been written with respect to the questions or challenges teams might encounter when trying to use DDS. Based on a survey of 18 team leads trying to use DDS, this paper describes six common questions teams might encounter when trying to implement DDS, as well as how to address these challenges.","","978-1-6654-3902-2","10.1109/BigData52589.2021.9671930","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9671930","","Conferences;Data science;Big Data","business data processing;data handling;team working","common questions teams;DDS;lean data science project agility;data science context;data driven scrum","","","","13","IEEE","13 Jan 2022","","","IEEE","IEEE Conferences"
"Analysis of Software Engineering for Agile Machine Learning Projects","K. Singla; J. Bose; C. Naik","Samsung R&D Institute, Bangalore, India; Samsung R&D Institute, Bangalore, India; Samsung R&D Institute, Bangalore, India","2018 15th IEEE India Council International Conference (INDICON)","16 Mar 2020","2018","","","1","5","The number of machine learning, artificial intelligence or data science related software engineering projects using Agile methodology is increasing. However, there are very few studies on how such projects work in practice. In this paper, we analyze project issues tracking data taken from Scrum (a popular tool for Agile) for several machine learning projects. We compare this data with corresponding data from non-machine learning projects, in an attempt to analyze how machine learning projects are executed differently from normal software engineering projects. On analysis, we find that machine learning project issues use different kinds of words to describe issues, have higher number of exploratory or research oriented tasks as compared to implementation tasks, and have a higher number of issues in the product backlog after each sprint, denoting that it is more difficult to estimate the duration of machine learning project related tasks in advance. After analyzing this data, we propose a few ways in which Agile machine learning projects can be better logged and executed, given their differences with normal software engineering projects.","2325-9418","978-1-5386-8235-7","10.1109/INDICON45594.2018.8987154","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8987154","scrum;machine learning project;software engineering;agile methodology","Machine learning;Task analysis;Software;Maximum likelihood estimation;Software engineering;Tag clouds;Data science","learning (artificial intelligence);project management;software engineering","nonmachine learning projects;normal software engineering projects;agile machine learning projects;Scrum;product backlog","","1","","14","IEEE","16 Mar 2020","","","IEEE","IEEE Conferences"
"When Edge Computing Meets Agile Software Development","L. Zhu; S. Song; Z. Xu; W. Wang; S. Peng; S. Hu","Institute of Software Chinese Academy of Sciences, Beijing, China; Alibaba Cloud Big Data Application College, Zhuhai College of Science and Technology, Zhuhai, China; Academy of Management, Guangdong University of Science and Technology, Dongguan, China; Alibaba Cloud Big Data Application College, Zhuhai College of Science and Technology, Zhuhai, China; Zhuhai Yingying Technology Co., Ltd., Zhuhai, China; Institute of Data Science, City University of Macau, Macau, China","2022 4th International Conference on Communications, Information System and Computer Engineering (CISCE)","17 Aug 2022","2022","","","156","159","Agile development has been a common methodology in software development. In response to the covid-19, most software development teams choose to work remotely. As a result of the different network environments, the company cloud center network load cannot meet the requirements of remote development and fault tolerance requirements of the agile development process. We designed a mixed-method called the Edge Development approach for improving Agile software development during the decision-making process. The extensive literature review provided us with three categories of challenges as well as solutions to support Edge Development's decision-support process. In the light of the survey, Five main software development decision-making challenges were identified in this study. In addition, we made a series of recommendations to improve the decision-making process of Edge Development from a variety of perspectives.","","978-1-6654-9848-7","10.1109/CISCE55963.2022.9851104","Zhuhai Industry University-Research Cooperation(grant numbers:ZH22017002200011PWC); FDCT-NSFC(grant numbers:0066/2019/AFJ); MOST-FDCT(grant numbers:0058/2019/AMJ); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9851104","Agile development;Edge computing;Edge development;Decision-making","COVID-19;Fault tolerance;Bibliographies;Decision making;Fault tolerant systems;Agile software development;Companies","decision making;decision support systems;software development management;software engineering;software prototyping","main software development decision-making challenges;Edge Development's decision-support process;Edge Development approach;agile development process;fault tolerance requirements;remote development;company cloud center network load;different network environments;software development teams;common methodology;Edge computing meets Agile software Development;decision-making process","","","","16","IEEE","17 Aug 2022","","","IEEE","IEEE Conferences"
"A survey study of success factors in data science projects","I. Martinez; E. Viles; I. G. Olaizola","Vicomtech Foundation, Basque Research and Technology Alliance, Donostia-San Sebastián, Spain; TECNUN School of Engineering, University of Navarra, Donostia-San Sebastián, Spain; Vicomtech Foundation, Basque Research and Technology Alliance, Donostia-San Sebastián, Spain","2021 IEEE International Conference on Big Data (Big Data)","13 Jan 2022","2021","","","2313","2318","In recent years, the data science community has pursued excellence and made significant research efforts to develop advanced analytics, focusing on solving technical problems at the expense of organizational and socio-technical challenges. According to previous surveys on the state of data science project management, there is a significant gap between technical and organizational processes. In this article we present new empirical data from a survey to 237 data science professionals on the use of project management methodologies for data science. We provide additional profiling of the survey respondents’ roles and their priorities when executing data science projects. Based on this survey study, the main findings are: (1) Agile data science lifecycle is the most widely used framework, but only 25% of the survey participants state to follow a data science project methodology. (2) The most important success factors are precisely describing stakeholders’ needs, communicating the results to end-users, and team collaboration and coordination. (3) Professionals who adhere to a project methodology place greater emphasis on the project’s potential risks and pitfalls, version control, the deployment pipeline to production, and data security and privacy.","","978-1-6654-3902-2","10.1109/BigData52589.2021.9671588","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9671588","data science;survey;project management;factor analysis;success factors","Data privacy;Statistical analysis;Data security;Pipelines;Project management;Focusing;Production","data privacy;organisational aspects;project management;security of data","empirical data;project management methodologies;survey respondents;data science projects;survey study;data science lifecycle;survey participants state;data science project methodology;project methodology;data security;privacy;data science community;socio-technical challenges;data science project management","","","","23","IEEE","13 Jan 2022","","","IEEE","IEEE Conferences"
"Using Big Data Analytics to Create a Predictive Model for Joint Strike Fighter","R. Norman; J. Bolin; E. T. Powell; S. Amin; J. Nacker","Big Data and Knowledge Management, Test Resource Management Center (TRMC), Alexandria, VA; Big Data and Knowledge Management, Test Resource Management Center (TRMC), Alexandria, VA; Big Data and Knowledge Management, Test Resource Management Center (TRMC), Alexandria, VA; Joint Strike Fighter Program Office (JPO), Naval Air Systems Command (NAVAIR), Arlington, VA; Joint Strike Fighter Program Office (JPO), Naval Air Systems Command (NAVAIR), Arlington, VA","2018 IEEE International Conference on Big Data (Big Data)","24 Jan 2019","2018","","","3590","3596","The amount of information needed to acquire knowledge on today's acquisition systems is growing exponentially due to more complex, higher resolution, software-intensive acquisition systems that need to operate in System-of-Systems (SoS), Family-of-Systems (FoS), Joint, and Coalition environments. Unfortunately, the tools and methods necessary to rapidly collect, aggregate, and analyze this information have not evolved as a whole in conjunction with this increased system complexity and, therefore, has made analysis and evaluation increasingly deficient and ineffective. The Test Resource Management Center's (TRMC's) vision is to build a DoD test and evaluation (T&E) knowledge management (KM) and analysis capability that leverages commercial big data analysis and cloud computing technologies to improve evaluation quality and reduce decision-making time. An evaluation revolution, starting with the Joint Strike Fighter (JSF) program, is underway to ensure the T&E community can support the demands of next-generation weapon systems.The true product of T&E is knowledge ascertained through the collection of information about a system or item under test. However, the T&E community's ability to provide this knowledge is hampered by more complex systems, more complex environments, and the need to be more agile in support of strategic initiatives, such as agile acquisition and the 3rd Offset Strategy. This increased complexity and need for speed cause delayed analysis and problems that go undetected during T&E. The primary reason for these shortfalls is antiquated tools and processes that make data hard to locate, aggregate, and convert into knowledge. In short, DoD has not evolved its evaluation infrastructure as its weapon systems have evolved.Conversely, commercial entities, such as medical observation and diagnosis, electric power distribution, retail, and industrial manufacturing, have embraced agility in their methodologies while modernizing analytics capabilities to keep up with the massive influx of data. Raw physical sensors could provide data, higher-quality image or video cameras, radio frequency identification (RFID) devices, faster data collectors, more detailed point-of-sale information or digitized records, and ultimately is providing more data to analysts in size and complexity than ever before. As more data has become available, an interrelated phenomenon is the desire of analysts to ask more detailed questions about their consumers and their business infrastructure. To drive the process of implementing big data analytics, businesses have begun establishing analytics centers which either take pre-defined business cases and apply methods to address them or implement existing knowledge within the data architecture to create a higher level of awareness to business groups or the company at-large. To meet these demands, data storage and computation architectures have become more sophisticated, dozens of technologies were developed for large-scale processing (such as Apache Hadoop or GreenPlum), and streaming architectures which allow data to be processed and actioned on in real-time as it is collected have become commonplace. The net result of these commercial best practices is a solid foundation for the DoD to transform how it uses data to achieve faster, better, and smarter decisions throughout the acquisition lifecycle.","","978-1-5386-5035-6","10.1109/BigData.2018.8622388","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8622388","Big Data;Data Analytics;Knowledge Management;Data Management;Virtualization;Cloud Computing;Predictive Maintainance;Department of Defense;Test and Evaluation","Big Data;Knowledge management;Tools;US Department of Defense;Cloud computing;Computer architecture;Data analysis","Big Data;data analysis;decision making;knowledge management;military aircraft;military computing;weapons","data analytics centers;Test Resource Management Center;data collectors;3rd Offset Strategy;Joint Strike Fighter program;commercial Big Data analysis;system-of-systems;higher-quality image;evaluation infrastructure;agile acquisition;complex systems;T&E community;next-generation weapon systems;decision-making time;evaluation quality;cloud computing technologies;DoD test;software-intensive acquisition systems;predictive model;acquisition lifecycle;computation architectures;data storage;data architecture","","3","","0","IEEE","24 Jan 2019","","","IEEE","IEEE Conferences"
"Automotive Big Data Pipeline: Disaggregated Hyper-Converged Infrastructure vs Hyper-Converged Infrastructure","C. J. Wang; B. Kim","R&D InfoTech Labs, Toyota Motor North America (TMNA), U.S.A; R&D InfoTech Labs, Toyota Motor North America (TMNA), U.S.A","2020 IEEE International Conference on Big Data (Big Data)","19 Mar 2021","2020","","","1784","1787","Big data disrupts everything it touches, but automotive is probably one of the top industries that enjoy and leverage the benefits. The Automotive Big Data Pipeline (ABDP) is a Big Data pipeline base on the automotive use case and is required to scale up agile and high performance in real-time or in batch. Nonetheless, there're many alternative infrastructure designs but lack of knowledge, which fits the best for the automotive domain. It leads this paper into a question: What kinds of infrastructure design could provide better performance for the ABDP?In this paper, we introduce two well-known infrastructure designs called Hyper-Converged infrastructure (HCI) and Disaggregated Hyper-Converged infrastructure (DHCI). HCI combines standard data center hardware using locally attached storage resources to create fast, common building blocks. However, does single standard hardware fit all the requirements? DHCI scale independently from compute and storage provides an option. It provides a more cost-efficient and flexible solution; however, there is no comparison from the performance point of view. Therefore, to address it, our objective is to conduct an empirical performance comparison to see which one performs better.The experiment result shows that DHCI performs almost the same as HCI on CPU utilization, memory, and network consumption. However, regarding storage and running time metrics, DHCI performs slightly higher storage throughput, IOPs, and less running time than HCI.","","978-1-7281-6251-5","10.1109/BigData50022.2020.9378045","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9378045","","Human computer interaction;Pipelines;Memory management;Big Data;Throughput;Standards;Automotive engineering","Big Data;computer centres;data analysis;microprocessor chips;storage management","automotive use case;agile performance;infrastructure design;HCI;DHCI;data center hardware;disaggregated hyper-converged infrastructure;automotive Big Data pipeline;CPU utilization;IOPs;network consumption;memory consumption","","","","13","IEEE","19 Mar 2021","","","IEEE","IEEE Conferences"
